date,close,return_1,log_return_1,volatility_10,volatility_20,momentum_5,momentum_10,zscore_close_20
2010-03-02,7.458921,-0.0006698891909493465,-0.0006701136669683928,0.012054747092722974,0.014307018935780966,0.05983491464821333,0.02679454172871698,1.9275159343421784
2010-03-03,7.476064,0.002298321700953787,0.002295684599465365,0.0118149251228785,0.01430013080213954,0.04322815229493582,0.033473271272937755,1.7569003026971486
2010-03-04,7.52535,0.00659250643119158,0.0065708708968787236,0.011843004052604687,0.013954706267936113,0.04311879260560891,0.038348676032481155,1.7536766115116165
2010-03-05,7.819635,0.03910582232055648,0.038360557094868984,0.015636733286100563,0.01300308355339545,0.07003222562039446,0.08568449840909254,2.6123785970591125
2010-03-08,7.824278,0.0005937617292879338,0.0005935855225387828,0.015068986372892841,0.012796633924409898,0.04827985183658834,0.09312633221784572,2.1786667803427493
2010-03-09,7.964992,0.01798427918844392,0.01782447516866074,0.01219083368604004,0.012709091167486551,0.06784774902428903,0.13174232794444407,2.265814043512882
2010-03-10,8.029992,0.008160711272528598,0.008127592726881374,0.012080551202944892,0.01268382271242139,0.07409353370971683,0.1205246125639261,2.0930294741135405
2010-03-11,8.053563,0.002935370296757611,0.0029310705096246455,0.012303584697555436,0.012387450479457007,0.07019115389981856,0.11633650431318232,1.8822370696097508
2010-03-12,8.092849,0.004878089362434945,0.004866230036119483,0.012434719547303762,0.012127163614181558,0.03493948246945022,0.10741859780920504,1.7400222779191832
2010-03-15,7.994278,-0.012180012255263772,-0.01225479647338858,0.013596616869564992,0.0128230194629786,0.021727244354047937,0.07105608432886679,1.3056188738362489
2010-03-16,8.016063,0.0027250741092565978,0.002721367826542669,0.01342597618895627,0.012640381540658248,0.006411933621528032,0.07469471790893079,1.2261938188920056
2010-03-17,8.004278,-0.0014701730762347598,-0.0014712548410561444,0.013633542438769491,0.012550925198364985,-0.003202244784303754,0.07065402329354042,1.0782701729188948
2010-03-18,8.023206,0.0023647354577140955,0.002361943870865057,0.01371059262224023,0.012544560916214822,-0.0037693875369200214,0.06615718870218656,1.0210053295846089
2010-03-19,7.937488,-0.010683759085831745,-0.010741240216227474,0.008673313541875147,0.012796063279955045,-0.019197318521573692,0.015071419573931655,0.7112355594683911
2010-03-22,8.026778,0.011249150864858004,0.011186349701567112,0.009184840875163558,0.012588295759031467,0.004065407782916752,0.025880982245262807,0.8700872648679034
2010-03-23,8.155706,0.01606223568161469,0.015934602872383418,0.00884071384409203,0.011590502644261744,0.017420397020332823,0.023944029071215622,1.1675520061426836
2010-03-24,8.191778,0.00442291568626918,0.004413163339981703,0.008647184765029547,0.011322191837793842,0.023424973495423274,0.020147716211921463,1.2001290744593516
2010-03-25,8.094635,-0.011858597730553644,-0.011929471768999902,0.009679085548289893,0.01206438763710593,0.008902800202313266,0.005099854561266826,0.819319598424639
2010-03-26,8.24642,0.018751308737206873,0.018577670222129267,0.011237062357173791,0.012310902960204496,0.03892062576976496,0.01897613559823008,1.3180876542870987
2010-03-29,8.299635,0.0064531032860319915,0.006432371158264247,0.010125775664479277,0.011780412886174929,0.03399334079004057,0.038196945365172486,1.426054466656049
2010-03-30,8.423027,0.014867159820883602,0.014757726904845654,0.010694373866764386,0.011871994621212653,0.03277717465538843,0.050768563071422745,1.8188653665201078
2010-03-31,8.392849,-0.0035827974907357563,-0.0035892310810966437,0.010856377742242252,0.012044329565581055,0.024545464977200337,0.04854541533914758,1.6432079755236264
2010-04-01,8.427492,0.004127680600473305,0.00411918509669727,0.010826629282325709,0.012049141344364307,0.04112069290338605,0.05038958241879876,1.8147201909401771
2010-04-05,8.517491,0.010679215121176977,0.010622595051933121,0.00940683711619316,0.009260754691741197,0.03287135508499439,0.07307135456456737,2.0096754862972164
