date,last_price,high,low,volume,open,BID,ASK,TRNOVR_UNS,VWAP,official_close,BLK_PRC1,BLKVOLUM,VWAP_VOL,TRD_STATUS,NAVALUE,NUM_MOVES,close,return_1,log_return_1,ma_5,ma_10,ma_20,ma_50,volatility_5,volatility_10,volatility_20,close_ma5_ratio,close_ma10_ratio,close_ma20_ratio,momentum_5,momentum_10,hl_range,oc_return,volume_change,volume_ma_10,volume_ratio_10
2010-02-02,76.061254,77.93123,75.749592,10822935.588532,77.93123,76.061254,76.123587,883653110.0,76.335518,76.170336,,,10817094.591453,,,,76.061254,-0.012942375329416556,-0.01302685759477565,77.94058,77.7520241,78.36755765000001,,0.008690375005465769,0.015961058208784892,0.013570687083760743,0.9758877083029149,0.9782543268863917,0.9705706835946035,-0.046679688728878954,-0.02535943218679082,0.028682645700266685,-0.023995207056272488,-0.14225667056988378,18488622.955688603,0.585383541785192
2010-02-03,78.990883,79.42721,75.88984,13888172.055914,76.357334,79.037632,79.131131,1155368260.0,77.781632,78.72597,,,13885979.05701,,,,78.990883,0.03851670654811956,0.03779345139588867,77.9187636,77.8720142,78.32704149999999,,0.023246376633905056,0.020539043051460974,0.01623795738350832,1.013759450875065,1.0143680475135315,1.0084752530835728,-0.001379039801092219,0.015424679945549524,0.04478200351298764,0.034489797666325046,0.2832167337880056,19247877.8760611,0.7215430264749833
2010-02-04,78.710386,79.396044,77.790982,12115679.94216,78.538972,78.788302,78.803885,1022996080.0,78.944133,78.959717,,,12111311.944344,,,,78.710386,-0.0035510047406356327,-0.003557324523457783,77.7660488,78.0558951,78.2428926,,0.02311428611193989,0.020095120917712813,0.01614540917754528,1.0121433095106667,1.0083849003225382,1.0059748992459923,-0.009607851427058667,0.02392053177210096,0.02039199756941865,0.0021825342964763867,-0.12762601922109829,19416180.4919098,0.6239991406759058
2010-02-05,77.292322,78.944133,76.980659,18616505.691747,78.538972,77.292322,77.416987,1548188790.0,77.753582,77.401404,250.0,304967.140049,18612962.693519,,,,77.292322,-0.01801622469492148,-0.018180492856750503,77.622684,78.18991,78.11822760000001,,0.023039869599081702,0.02066406989739979,0.016535819831871926,0.9957440018435847,0.9885204113932348,0.9894274918239438,-0.009188973815967727,0.017644643294142393,0.02540322181031113,-0.015873011426734775,0.5365630142610076,20104361.8478191,0.9259933656519665
2010-02-06,77.245572,77.790982,77.042992,477017.761491,77.292322,77.152074,77.245572,39444590.0,77.314138,77.307905,,,473204.763398,,,,77.245572,-0.0006048466237047467,-0.0006050296172162424,77.6600834,78.1727685,77.97953774999999,,0.02228388723277191,0.019745851540810187,0.016505323572582324,0.9946624909238765,0.9881391369681374,0.9905877135056498,0.0024266864524808973,-0.002214178136382472,0.009683273495599224,-0.0006048466237047835,-0.974376622047688,15526178.7369106,0.03072344905813683
2010-02-08,76.559915,77.354654,75.017185,23410350.294825,77.292322,76.559915,76.668997,1907827440.0,76.195269,76.466416,245.6,93498.776224,23396628.301686,,,,76.559915,-0.008876327564769526,-0.008915956842880818,77.7598156,77.8501978,77.81123995,,0.021729764097902542,0.01664046481474248,0.016583677824960424,0.9845691429340273,0.9834260819309055,0.9839184550868991,0.006556044947668038,-0.04042967791866059,0.030531238181233593,-0.009475805371715898,48.07647510158107,16286821.7565891,1.437379904115053
2010-02-09,75.671676,76.918327,75.656093,12081404.959298,76.481999,75.671676,75.734009,984884850.0,76.220202,76.014505,,,12076241.961879,,,,75.671676,-0.011601880696967881,-0.01166970763858163,77.0959742,77.5073689,77.69670395,,0.00684001649441487,0.01675958457162408,0.015895078000868656,0.9815256475480143,0.9763158919461141,0.9739367586132978,-0.042020127816522757,-0.04334122018890896,0.016680402321206766,-0.01059495058438518,-0.48392891147943784,13939979.9300101,0.8666730526124399
2010-02-10,76.201503,76.668997,75.453512,8559067.720466,76.263835,76.045671,76.201503,695507780.0,75.973989,76.014505,,,8556685.721657,,,,76.201503,0.007001655414636154,0.006977257642359186,76.5941976,77.1801232,77.62346325000001,,0.009763640478432131,0.01691035297367586,0.015991455376474284,0.9948730502792029,0.9873203078794776,0.9816813088405971,-0.03187486591667832,-0.04117646836775224,0.015950932096444357,-0.0008173205556735749,-0.2915502998780921,12835570.082215,0.666824119664577
2010-02-11,77.058575,77.261155,76.295001,6952625.523687,76.372917,77.058575,77.13649,571130170.0,76.803011,77.027408,,,6946010.526995,,,,77.058575,0.011247442192839685,0.01118466003541471,76.5474482,77.0850661,77.60554264999999,,0.00984480240835077,0.016712866227483116,0.016203630530299423,1.0066772545920086,0.9996563394008687,0.9929519512225202,-0.0030241943048365805,-0.012185378878522779,0.012537916773052228,0.008977763675047316,-0.18768892235047485,11954167.822916102,0.5816068192014872
2010-02-15,77.292322,77.915647,76.3885,6487736.756132,77.448153,77.245572,77.292322,535799580.0,77.214406,77.713066,,,6487643.756178,,,,77.292322,0.0030333677984570873,0.00302877642090469,76.5567982,77.10844080000001,77.52918535,,0.009974879892262558,0.016278664959048422,0.01565241039603193,1.009607556968076,1.0023847090940008,0.9969448492341213,0.0006052126845537131,0.0030333677984570873,0.019758068595739867,-0.0020120686415853748,-0.06686521026785697,11341149.6294252,0.5720528313372422
2010-02-16,78.087061,78.383141,77.323488,6122924.938538,78.149394,78.087061,78.149394,509985670.0,77.875131,77.962396,,,6113222.943389,,,,78.087061,0.01028225028612817,0.010229747541528885,76.86222740000001,77.3110215,77.5315228,,0.009291862099066654,0.015810322680105765,0.015690133549805956,1.0159354424329368,1.0100378896170712,1.0071653203746953,0.01994707021291764,0.026633889049475945,0.013570148324573225,-0.0007976133506549687,-0.05623098336244792,10871148.5644258,0.5632270502285611
